TestID,Category,Objective,SQL,ExpectedResult,Notes,Result,Comment
COL-02,Data Type,Insert invalid decimal into fee.amount,"INSERT INTO fee (id,amount) VALUES (1000,'not-a-number');",Insert fails with data type conversion error,DB-specific error message expected,,
COL-03,DateTime,Insert invalid datetime into appointment.appointment_date_time,"INSERT INTO appointment (id,appointment_date_time) VALUES (1001,'invalid-date');",Insert fails with datetime parse error,Verify column rejects invalid formats,,
COL-04,Boolean,Insert invalid bit into fee.paid,"INSERT INTO fee (id,paid) VALUES (1002,2);",Insert fails or value coerced depending on DB; expect error or normalized to 1,Verify allowed values are 0 or 1,,
MSG-01,FK Validation,Insert message linked to patient,"INSERT INTO patient (id,first_name) VALUES (1100,'MsgP'); INSERT INTO message (id,created_at,sender_role,status,text,patient_id) VALUES (1200,NOW(),'staff','sent','hello',1100);",Message inserts successfully,Verify message.patient_id references patient.id,,
RPT-01,Report Tests,Insert report linked to appointment,"INSERT INTO appointment (id,appointment_date_time) VALUES (2000,NOW()); INSERT INTO report (id,file_name,appointment_id) VALUES (3000,'r1.pdf',2000);",Report inserts successfully and FK satisfied,Verify report row exists and appointment_id matches,,
RPT-02,Report Tests,Insert reports linked to appointment,"INSERT INTO reports (id,file_name,appointment_id) VALUES (4000,'r2.pdf',2000);",Reports inserts successfully and FK satisfied,Both report tables independently reference appointment,,
RPT-03,Report Tests,Prevent orphaned report on appointment delete,DELETE FROM appointment WHERE id = 2000;,Delete fails due to FK from report and reports,Verify DB prevents orphaned report rows,,
NEG-01,Business Rule,Insert claim where fee.appointment_id differs from claim.appointment_id,"INSERT INTO appointment (id,appointment_date_time) VALUES (5000,NOW()); INSERT INTO appointment (id,appointment_date_time) VALUES (5001,NOW()); INSERT INTO fee (id,amount,appointment_id) VALUES (6000,10.00,5000); INSERT INTO claim (id,claim_amount,appointment_id,fee_id,patient_id) VALUES (7000,10.00,5001,6000,200);",DB allows insert because cross-table business rule not enforced; application should reject,Test asserts application-level validation,,
BULK-01,Performance,Bulk insert many appointments and claims to test FK/index performance,-- Example: generate 10000 appointments and 10000 claims referencing them in a script,Bulk inserts complete within acceptable time and without FK errors,Measure time and check index usage,,
CONC-01,Concurrency,Concurrent insert of appointment then claim in separate transactions,"-- Transaction A: BEGIN; INSERT INTO appointment (id,appointment_date_time) VALUES (8000,NOW()); sleep; COMMIT; -- Transaction B: attempt INSERT INTO claim referencing 8000 during sleep",Transaction B behavior depends on isolation level; test for expected locking or failure,Simulate with transactions and observe isolation behavior,,
IDX-01,Index Check,Verify indexes exist for FK columns,"SHOW INDEX FROM appointment WHERE Column_name IN ('doctor_id','patient_id'); SHOW INDEX FROM claim WHERE Column_name IN ('appointment_id','fee_id','patient_id');",Indexes exist to support FK lookups,"If missing, recommend adding indexes for performance",,
QUERY-01,Metadata,Run metadata query to list PKs and FKs,"SELECT table_name,column_name,referenced_table_name,referenced_column_name FROM information_schema.key_column_usage WHERE table_schema='mmpdb' AND (constraint_name='PRIMARY' OR referenced_table_name IS NOT NULL);",Result lists all PKs and FKs as in provided schema-table-info.csv,Use to validate schema after migrations,,
CLEANUP-01,Cleanup,Remove test data inserted during tests,"DELETE FROM claim WHERE id IN (500,7000,1200,5000,7000); DELETE FROM fee WHERE id IN (400,6000,800,1000); DELETE FROM appointment WHERE id IN (300,2000,5000,8000); DELETE FROM patient WHERE id IN (200,1100,600); DELETE FROM doctor WHERE id IN (100,700); DELETE FROM report WHERE id IN (3000,4000);",All test rows removed and DB restored to pre-test state,Run in correct order to avoid FK violations or use CASCADE where appropriate,,
